year,race_id,circuit,rider_id,rider,country,team,constructor,position,points,classified
1949,1949_04,Spa-Francorchamps,2,Nello Pagani,IT,,Gilera,5.0,5.0,True
1949,1949_04,Spa-Francorchamps,23,Guido Leoni,IT,,Moto Guzzi,6.0,0.0,True
1949,1949_05,Belfast,1,Leslie Graham,GB,,AJS,1.0,10.0,True
1949,1949_05,Belfast,5,Artie Bell,IE,,Norton,2.0,8.0,True
1949,1949_05,Belfast,2,Nello Pagani,IT,,Gilera,3.0,7.0,True
1949,1949_05,Belfast,4,William Doran,GB,,AJS,4.0,6.0,True
1949,1949_05,Belfast,11,Jock West,GB,,AJS,5.0,5.0,True
1949,1949_05,Belfast,40,Cromie McCandless,IE,,Norton,6.0,0.0,True
1949,1949_06,Monza,2,Nello Pagani,IT,,Gilera,1.0,10.0,True
1949,1949_06,Monza,3,Arciso Artesiani,IT,,Gilera,2.0,8.0,True
1949,1949_06,Monza,4,William Doran,GB,,AJS,3.0,7.0,True
1949,1949_06,Monza,10,Gianni Leoni,IT,,Moto Guzzi,4.0,6.0,True
1949,1949_06,Monza,13,Bruno Bertacchini,IT,,Moto Guzzi,5.0,5.0,True
1949,1949_06,Monza,1,Leslie Graham,GB,,AJS,6.0,0.0,True
1950,1950_01,Isle of Man,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1950,1950_01,Isle of Man,5,Artie Bell,IE,,Norton,2.0,6.0,True
1950,1950_01,Isle of Man,7,John Lockett,GB,,Norton,3.0,4.0,True
1950,1950_01,Isle of Man,6,Harold Daniell,GB,,Norton,4.0,3.0,True
1950,1950_01,Isle of Man,24,Keith Armstrong,GB,,Velocette,5.0,2.0,True
1950,1950_01,Isle of Man,16,Reg Armstrong,IE,,Velocette,6.0,1.0,True
1950,1950_02,Spa-Francorchamps,33,Umberto Masetti,IT,,Gilera,1.0,8.0,True
1950,1950_02,Spa-Francorchamps,2,Nello Pagani,IT,,Gilera,2.0,6.0,True
1950,1950_02,Spa-Francorchamps,37,E. Frend,GB,,AJS,3.0,4.0,True
1950,1950_02,Spa-Francorchamps,50,Carlos Bandirola,IT,,Gilera,4.0,3.0,True
1950,1950_02,Spa-Francorchamps,3,Arciso Artesiani,IT,,MV Agusta,5.0,2.0,True
1950,1950_02,Spa-Francorchamps,55,Eric Hinton,AU,,Norton,6.0,1.0,True
1950,1950_03,Assen,33,Umberto Masetti,IT,,Gilera,1.0,8.0,True
1950,1950_03,Assen,2,Nello Pagani,IT,,Gilera,2.0,6.0,True
1950,1950_03,Assen,51,Harry Hinton,AU,,Norton,3.0,4.0,True
1950,1950_03,Assen,50,Carlos Bandirola,IT,,Gilera,4.0,3.0,True
1950,1950_03,Assen,36,Eric McPherson,AU,,Norton,5.0,2.0,True
1950,1950_03,Assen,12,Sid Jensen,NZ,,Triumph,6.0,1.0,True
1950,1950_04,Geneva,1,Leslie Graham,GB,,AJS,1.0,8.0,True
1950,1950_04,Geneva,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1950,1950_04,Geneva,50,Carlos Bandirola,IT,,Gilera,3.0,4.0,True
1950,1950_04,Geneva,49,Geoff Duke,GB,,Norton,4.0,3.0,True
1950,1950_04,Geneva,6,Harold Daniell,GB,,Norton,5.0,2.0,True
1950,1950_04,Geneva,7,John Lockett,GB,,Norton,6.0,1.0,True
1950,1950_05,Belfast,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1950,1950_05,Belfast,1,Leslie Graham,GB,,AJS,2.0,6.0,True
1950,1950_05,Belfast,7,John Lockett,GB,,Norton,3.0,4.0,True
1950,1950_05,Belfast,43,Dickie Dale,GB,,Norton,4.0,3.0,True
1950,1950_05,Belfast,11,Jock West,GB,,AJS,5.0,2.0,True
1950,1950_05,Belfast,33,Umberto Masetti,IT,,Gilera,6.0,1.0,True
1950,1950_06,Monza,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1950,1950_06,Monza,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1950,1950_06,Monza,3,Arciso Artesiani,IT,,MV Agusta,3.0,4.0,True
1950,1950_06,Monza,52,Alfredo Milani,IT,,Gilera,4.0,3.0,True
1950,1950_06,Monza,50,Carlos Bandirola,IT,,Gilera,5.0,2.0,True
1950,1950_06,Monza,43,Dickie Dale,GB,,Norton,6.0,1.0,True
1951,1951_01,Montjuïc,33,Umberto Masetti,IT,,Gilera,1.0,8.0,True
1951,1951_01,Montjuïc,19,Tommy Wood,GB,,Norton,2.0,6.0,True
1951,1951_01,Montjuïc,3,Arciso Artesiani,IT,,MV Agusta,3.0,4.0,True
1951,1951_01,Montjuïc,75,Roger Montane,ES,,Norton,4.0,3.0,True
1951,1951_01,Montjuïc,50,Carlos Bandirola,IT,,MV Agusta,5.0,2.0,True
1951,1951_01,Montjuïc,79,Ernesto Vidal,ES,,Norton,6.0,1.0,True
1951,1951_02,Berne,27,Fergus Anderson,GB,,Moto Guzzi,1.0,8.0,True
1951,1951_02,Berne,16,Reg Armstrong,IE,,AJS,2.0,6.0,True
1951,1951_02,Berne,9,Enrico Lorenzetti,IT,,Moto Guzzi,3.0,4.0,True
1951,1951_02,Berne,50,Carlos Bandirola,IT,,MV Agusta,4.0,3.0,True
1951,1951_02,Berne,29,Benoit Musy,CH,,Moto Guzzi,5.0,2.0,True
1951,1951_02,Berne,80,Willy Lips,CH,,Norton,6.0,1.0,True
1951,1951_03,Isle of Man,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1951,1951_03,Isle of Man,4,William Doran,GB,,AJS,2.0,6.0,True
1951,1951_03,Isle of Man,40,Cromie McCandless,IE,,Norton,3.0,4.0,True
1951,1951_03,Isle of Man,92,Phillip McCallen,GB,,Norton,4.0,3.0,True
1951,1951_03,Isle of Man,18,Manliefe Barrington,IE,,Norton,5.0,2.0,True
1951,1951_03,Isle of Man,77,A. Parry,GB,,Norton,6.0,1.0,True
1951,1951_05,Assen,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1951,1951_05,Assen,52,Alfredo Milani,IT,,Gilera,2.0,6.0,True
1951,1951_05,Assen,9,Enrico Lorenzetti,IT,,Moto Guzzi,3.0,4.0,True
1951,1951_05,Assen,7,John Lockett,GB,,Norton,4.0,3.0,True
1951,1951_05,Assen,76,Jack Brett,GB,,Norton,5.0,2.0,True
1951,1951_05,Assen,95,V. Perry,NZ,,Norton,6.0,1.0,True
1951,1951_06,Albi,52,Alfredo Milani,IT,,Gilera,1.0,8.0,True
1951,1951_06,Albi,4,William Doran,GB,,AJS,2.0,6.0,True
1951,1951_06,Albi,2,Nello Pagani,IT,,Gilera,3.0,4.0,True
1951,1951_06,Albi,33,Umberto Masetti,IT,,Gilera,4.0,3.0,True
1951,1951_06,Albi,49,Geoff Duke,GB,,Norton,5.0,2.0,True
1951,1951_06,Albi,76,Jack Brett,GB,,Norton,6.0,1.0,True
1951,1951_07,Belfast,49,Geoff Duke,GB,,Norton,1.0,8.0,True
1951,1951_07,Belfast,72,Ken Kavanagh,AU,,Norton,2.0,6.0,True
1951,1951_07,Belfast,33,Umberto Masetti,IT,,Gilera,3.0,4.0,True
1951,1951_07,Belfast,52,Alfredo Milani,IT,,Gilera,4.0,3.0,True
1951,1951_07,Belfast,7,John Lockett,GB,,Norton,5.0,2.0,True
1951,1951_07,Belfast,4,William Doran,GB,,AJS,6.0,1.0,True
1951,1951_08,Monza,52,Alfredo Milani,IT,,Gilera,1.0,8.0,True
1951,1951_08,Monza,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1951,1951_08,Monza,2,Nello Pagani,IT,,Gilera,3.0,4.0,True
1951,1951_08,Monza,49,Geoff Duke,GB,,Norton,4.0,3.0,True
1951,1951_08,Monza,25,Bruno Ruffo,IT,,Moto Guzzi,5.0,2.0,True
1951,1951_08,Monza,4,William Doran,GB,,AJS,6.0,1.0,True
1952,1952_01,Berne,76,Jack Brett,GB,,AJS,1.0,8.0,True
1952,1952_01,Berne,4,William Doran,GB,,AJS,2.0,6.0,True
1952,1952_01,Berne,50,Carlos Bandirola,IT,,MV Agusta,3.0,4.0,True
1952,1952_01,Berne,2,Nello Pagani,IT,,Gilera,4.0,3.0,True
1952,1952_01,Berne,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1952,1952_01,Berne,105,Ray Amm,RH,,Norton,6.0,1.0,True
1952,1952_02,Isle of Man,16,Reg Armstrong,IE,,Norton,1.0,8.0,True
1952,1952_02,Isle of Man,1,Leslie Graham,GB,,MV Agusta,2.0,6.0,True
1952,1952_02,Isle of Man,105,Ray Amm,RH,,Norton,3.0,4.0,True
1952,1952_02,Isle of Man,96,Rod Coleman,NZ,,AJS,4.0,3.0,True
1952,1952_02,Isle of Man,56,Bill Lomas,GB,,AJS,5.0,2.0,True
1952,1952_02,Isle of Man,40,Cromie McCandless,IE,,Norton,6.0,1.0,True
1952,1952_03,Assen,33,Umberto Masetti,IT,,Gilera,1.0,8.0,True
1952,1952_03,Assen,49,Geoff Duke,GB,,Norton,2.0,6.0,True
1952,1952_03,Assen,72,Ken Kavanagh,AU,,Norton,3.0,4.0,True
1952,1952_03,Assen,16,Reg Armstrong,IE,,Norton,4.0,3.0,True
1952,1952_03,Assen,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1952,1952_03,Assen,2,Nello Pagani,IT,,Gilera,6.0,1.0,True
1952,1952_04,Spa-Francorchamps,33,Umberto Masetti,IT,,Gilera,1.0,8.0,True
1952,1952_04,Spa-Francorchamps,49,Geoff Duke,GB,,Norton,2.0,6.0,True
1952,1952_04,Spa-Francorchamps,105,Ray Amm,RH,,Norton,3.0,4.0,True
1952,1952_04,Spa-Francorchamps,76,Jack Brett,GB,,AJS,4.0,3.0,True
1952,1952_04,Spa-Francorchamps,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1952,1952_04,Spa-Francorchamps,2,Nello Pagani,IT,,Gilera,6.0,1.0,True
1952,1952_05,Solitude,16,Reg Armstrong,IE,,Norton,1.0,8.0,True
1952,1952_05,Solitude,72,Ken Kavanagh,AU,,Norton,2.0,6.0,True
1952,1952_05,Solitude,106,Sid Lawton,GB,,Norton,3.0,4.0,True
1952,1952_05,Solitude,1,Leslie Graham,GB,,MV Agusta,4.0,3.0,True
1952,1952_05,Solitude,109,Auguste Goffin,BE,,Norton,5.0,2.0,True
1952,1952_05,Solitude,110,Hans Baltisberger,DE,,BMW,6.0,1.0,True
1952,1952_06,Belfast,40,Cromie McCandless,IE,,Gilera,1.0,8.0,True
1952,1952_06,Belfast,96,Rod Coleman,NZ,,AJS,2.0,6.0,True
1952,1952_06,Belfast,56,Bill Lomas,GB,,MV Agusta,3.0,4.0,True
1952,1952_06,Belfast,76,Jack Brett,GB,,AJS,4.0,3.0,True
1952,1952_06,Belfast,108,Phil Carter,IE,,Norton,5.0,2.0,True
1952,1952_06,Belfast,111,John Surtees,GB,,Norton,6.0,1.0,True
1952,1952_07,Monza,1,Leslie Graham,GB,,MV Agusta,1.0,8.0,True
1952,1952_07,Monza,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1952,1952_07,Monza,2,Nello Pagani,IT,,Gilera,3.0,4.0,True
1952,1952_07,Monza,50,Carlos Bandirola,IT,,MV Agusta,4.0,3.0,True
1952,1952_07,Monza,107,Giuseppe Colnago,IT,,Gilera,5.0,2.0,True
1952,1952_07,Monza,16,Reg Armstrong,IE,,Norton,6.0,1.0,True
1952,1952_08,Montjuïc,1,Leslie Graham,GB,,MV Agusta,1.0,8.0,True
1952,1952_08,Montjuïc,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1952,1952_08,Montjuïc,72,Ken Kavanagh,AU,,Norton,3.0,4.0,True
1952,1952_08,Montjuïc,2,Nello Pagani,IT,,Gilera,4.0,3.0,True
1952,1952_08,Montjuïc,16,Reg Armstrong,IE,,Norton,5.0,2.0,True
1952,1952_08,Montjuïc,106,Sid Lawton,GB,,Norton,6.0,1.0,True
1953,1953_01,Isle of Man,105,Ray Amm,RH,,Norton,1.0,8.0,True
1953,1953_01,Isle of Man,76,Jack Brett,GB,,Norton,2.0,6.0,True
1953,1953_01,Isle of Man,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1953,1953_01,Isle of Man,96,Rod Coleman,NZ,,AJS,4.0,3.0,True
1953,1953_01,Isle of Man,4,William Doran,GB,,AJS,5.0,2.0,True
1953,1953_01,Isle of Man,137,Peter Davey,GB,,Norton,6.0,1.0,True
1953,1953_02,Assen,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1953,1953_02,Assen,16,Reg Armstrong,IE,,Gilera,2.0,6.0,True
1953,1953_02,Assen,72,Ken Kavanagh,AU,,Norton,3.0,4.0,True
1953,1953_02,Assen,107,Giuseppe Colnago,IT,,Gilera,4.0,3.0,True
1953,1953_02,Assen,76,Jack Brett,GB,,Norton,5.0,2.0,True
1953,1953_02,Assen,4,William Doran,GB,,AJS,6.0,1.0,True
1953,1953_03,Spa-Francorchamps,52,Alfredo Milani,IT,,Gilera,1.0,8.0,True
1953,1953_03,Spa-Francorchamps,105,Ray Amm,RH,,Norton,2.0,6.0,True
1953,1953_03,Spa-Francorchamps,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1953,1953_03,Spa-Francorchamps,72,Ken Kavanagh,AU,,Norton,4.0,3.0,True
1953,1953_03,Spa-Francorchamps,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1953,1953_03,Spa-Francorchamps,43,Dickie Dale,GB,,Gilera,6.0,1.0,True
1953,1953_04,Rouen,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1953,1953_04,Rouen,16,Reg Armstrong,IE,,Gilera,2.0,6.0,True
1953,1953_04,Rouen,52,Alfredo Milani,IT,,Gilera,3.0,4.0,True
1953,1953_04,Rouen,72,Ken Kavanagh,AU,,Norton,4.0,3.0,True
1953,1953_04,Rouen,107,Giuseppe Colnago,IT,,Gilera,5.0,2.0,True
1953,1953_04,Rouen,76,Jack Brett,GB,,Norton,6.0,1.0,True
1953,1953_05,Belfast,72,Ken Kavanagh,AU,,Norton,1.0,8.0,True
1953,1953_05,Belfast,49,Geoff Duke,GB,,Gilera,2.0,6.0,True
1953,1953_05,Belfast,76,Jack Brett,GB,,Norton,3.0,4.0,True
1953,1953_05,Belfast,16,Reg Armstrong,IE,,Gilera,4.0,3.0,True
1953,1953_05,Belfast,136,Derek Farrant,GB,,AJS,5.0,2.0,True
1953,1953_05,Belfast,138,Ken Mudford,NZ,,Norton,6.0,1.0,True
1953,1953_06,Berne,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1953,1953_06,Berne,52,Alfredo Milani,IT,,Gilera,2.0,6.0,True
1953,1953_06,Berne,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1953,1953_06,Berne,107,Giuseppe Colnago,IT,,Gilera,4.0,3.0,True
1953,1953_06,Berne,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1953,1953_06,Berne,136,Derek Farrant,GB,,AJS,6.0,1.0,True
1953,1953_07,Monza,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1953,1953_07,Monza,43,Dickie Dale,GB,,Gilera,2.0,6.0,True
1953,1953_07,Monza,135,Libero Liberati,IT,,Gilera,3.0,4.0,True
1953,1953_07,Monza,16,Reg Armstrong,IE,,Gilera,4.0,3.0,True
1953,1953_07,Monza,61,Cecyl Sandford,GB,,MV Agusta,5.0,2.0,True
1953,1953_07,Monza,134,Hermann Paul Müller,DE,,MV Agusta,6.0,1.0,True
1953,1953_08,Montjuïc,27,Fergus Anderson,GB,,Moto Guzzi,1.0,8.0,True
1953,1953_08,Montjuïc,50,Carlos Bandirola,IT,,MV Agusta,2.0,6.0,True
1953,1953_08,Montjuïc,43,Dickie Dale,GB,,Gilera,3.0,4.0,True
1953,1953_08,Montjuïc,107,Giuseppe Colnago,IT,,Gilera,4.0,3.0,True
1953,1953_08,Montjuïc,2,Nello Pagani,IT,,Gilera,5.0,2.0,True
1953,1953_08,Montjuïc,19,Tommy Wood,GB,,Norton,6.0,1.0,True
1954,1954_01,Reims,144,Pierre Monneret,FR,,Gilera,1.0,8.0,True
1954,1954_01,Reims,52,Alfredo Milani,IT,,Gilera,2.0,6.0,True
1954,1954_01,Reims,161,Jaques Collot,IT,,Norton,3.0,4.0,True
1954,1954_01,Reims,164,Luigi Taveri,CH,,Norton,4.0,3.0,True
1954,1954_01,Reims,98,Bob Matthews,IE,,Norton,5.0,2.0,True
1954,1954_01,Reims,166,G. Julian,GB,,Norton,6.0,1.0,True
1954,1954_02,Isle of Man,105,Ray Amm,RH,,Norton,1.0,8.0,True
1954,1954_02,Isle of Man,49,Geoff Duke,GB,,Gilera,2.0,6.0,True
1954,1954_02,Isle of Man,76,Jack Brett,GB,,Norton,3.0,4.0,True
1954,1954_02,Isle of Man,16,Reg Armstrong,IE,,Gilera,4.0,3.0,True
1954,1954_02,Isle of Man,165,Rudy Allison,ZA,,Norton,5.0,2.0,True
1954,1954_02,Isle of Man,167, ,?,,Norton,6.0,1.0,True
1954,1954_03,Spa-Francorchamps,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1954,1954_03,Spa-Francorchamps,72,Ken Kavanagh,AU,,Moto Guzzi,2.0,6.0,True
1954,1954_03,Spa-Francorchamps,162,Leon Martin,BE,,Gilera,3.0,4.0,True
1954,1954_03,Spa-Francorchamps,147,Bob Mcintyre,GB,,AJS,4.0,3.0,True
1954,1954_03,Spa-Francorchamps,65,Keith Campbell,AU,,Norton,5.0,2.0,True
1954,1954_03,Spa-Francorchamps,169,George Murphy,NZ,,Matchless,6.0,1.0,True
1954,1954_04,Assen,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1954,1954_04,Assen,27,Fergus Anderson,GB,,Moto Guzzi,2.0,6.0,True
1954,1954_04,Assen,50,Carlos Bandirola,IT,,MV Agusta,3.0,4.0,True
1954,1954_04,Assen,96,Rod Coleman,NZ,,AJS,4.0,3.0,True
1954,1954_04,Assen,43,Dickie Dale,GB,,MV Agusta,5.0,2.0,True
1954,1954_04,Assen,147,Bob Mcintyre,GB,,AJS,6.0,1.0,True
1954,1954_05,Solitude,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1954,1954_05,Solitude,105,Ray Amm,RH,,Norton,2.0,6.0,True
1954,1954_05,Solitude,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1954,1954_05,Solitude,72,Ken Kavanagh,AU,,Moto Guzzi,4.0,3.0,True
1954,1954_05,Solitude,27,Fergus Anderson,GB,,Moto Guzzi,5.0,2.0,True
1954,1954_05,Solitude,76,Jack Brett,GB,,Norton,6.0,1.0,True
1954,1954_06,Berne,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1954,1954_06,Berne,105,Ray Amm,RH,,Norton,2.0,6.0,True
1954,1954_06,Berne,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1954,1954_06,Berne,76,Jack Brett,GB,,Norton,4.0,3.0,True
1954,1954_06,Berne,96,Rod Coleman,NZ,,AJS,5.0,2.0,True
1954,1954_06,Berne,136,Derek Farrant,GB,,AJS,6.0,1.0,True
1954,1954_07,Monza,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1954,1954_07,Monza,33,Umberto Masetti,IT,,Gilera,2.0,6.0,True
1954,1954_07,Monza,50,Carlos Bandirola,IT,,MV Agusta,3.0,4.0,True
1954,1954_07,Monza,43,Dickie Dale,GB,,MV Agusta,4.0,3.0,True
1954,1954_07,Monza,16,Reg Armstrong,IE,,Gilera,5.0,2.0,True
1954,1954_07,Monza,72,Ken Kavanagh,AU,,Moto Guzzi,6.0,1.0,True
1954,1954_08,Montjuïc,43,Dickie Dale,GB,,MV Agusta,1.0,8.0,True
1954,1954_08,Montjuïc,72,Ken Kavanagh,AU,,Moto Guzzi,2.0,6.0,True
1954,1954_08,Montjuïc,2,Nello Pagani,IT,,MV Agusta,3.0,4.0,True
1954,1954_08,Montjuïc,19,Tommy Wood,GB,,Norton,4.0,3.0,True
1954,1954_08,Montjuïc,109,Auguste Goffin,BE,,Norton,5.0,2.0,True
1954,1954_08,Montjuïc,173,John Clark,GB,,Norton,6.0,1.0,True
1955,1955_01,Montjuïc,16,Reg Armstrong,IE,,Gilera,1.0,8.0,True
1955,1955_01,Montjuïc,50,Carlos Bandirola,IT,,MV Agusta,2.0,6.0,True
1955,1955_01,Montjuïc,33,Umberto Masetti,IT,,MV Agusta,3.0,4.0,True
1955,1955_01,Montjuïc,191,Orlando Valdinoci,IT,,Gilera,4.0,3.0,True
1955,1955_01,Montjuïc,2,Nello Pagani,IT,,MV Agusta,5.0,2.0,True
1955,1955_01,Montjuïc,152,Tino Forconi,IT,,MV Agusta,6.0,1.0,True
1955,1955_02,Reims,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1955,1955_02,Reims,135,Libero Liberati,IT,,Gilera,2.0,6.0,True
1955,1955_02,Reims,16,Reg Armstrong,IE,,Gilera,3.0,4.0,True
1955,1955_02,Reims,152,Tino Forconi,IT,,MV Agusta,4.0,3.0,True
1955,1955_02,Reims,161,Jaques Collot,IT,,Norton,5.0,2.0,True
1955,1955_02,Reims,170,Firmin Dauwe,BE,,Norton,6.0,1.0,True
1955,1955_03,Isle of Man,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1955,1955_03,Isle of Man,16,Reg Armstrong,IE,,Gilera,2.0,6.0,True
1955,1955_03,Isle of Man,72,Ken Kavanagh,AU,,Moto Guzzi,3.0,4.0,True
1955,1955_03,Isle of Man,76,Jack Brett,GB,,Norton,4.0,3.0,True
1955,1955_03,Isle of Man,147,Bob Mcintyre,GB,,Norton,5.0,2.0,True
1955,1955_03,Isle of Man,196,Derek Ennett,GB,,Matchless,6.0,1.0,True
1955,1955_04,Nurburgring,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1955,1955_04,Nurburgring,190,Walter Zeller,DE,,BMW,2.0,6.0,True
1955,1955_04,Nurburgring,50,Carlos Bandirola,IT,,MV Agusta,3.0,4.0,True
1955,1955_04,Nurburgring,33,Umberto Masetti,IT,,MV Agusta,4.0,3.0,True
1955,1955_04,Nurburgring,107,Giuseppe Colnago,IT,,Gilera,5.0,2.0,True
1955,1955_04,Nurburgring,197,Jack Ahearn,AU,,Norton,6.0,1.0,True
1955,1955_05,Spa-Francorchamps,107,Giuseppe Colnago,IT,,Gilera,1.0,8.0,True
1955,1955_05,Spa-Francorchamps,144,Pierre Monneret,FR,,Gilera,2.0,6.0,True
1955,1955_05,Spa-Francorchamps,162,Leon Martin,BE,,Gilera,3.0,4.0,True
1955,1955_05,Spa-Francorchamps,155,Duilio Agostini,IT,,Moto Guzzi,4.0,3.0,True
1955,1955_05,Spa-Francorchamps,109,Auguste Goffin,BE,,Norton,5.0,2.0,True
1955,1955_05,Spa-Francorchamps,194,John Storr,GB,,Norton,6.0,1.0,True
1955,1955_06,Assen,49,Geoff Duke,GB,,Gilera,1.0,8.0,True
1955,1955_06,Assen,16,Reg Armstrong,IE,,Gilera,2.0,6.0,True
1955,1955_06,Assen,33,Umberto Masetti,IT,,MV Agusta,3.0,4.0,True
1955,1955_06,Assen,143,Dreikus Veer,NL,,Gilera,4.0,3.0,True
1955,1955_06,Assen,192,Bob Brown,AU,,Matchless,5.0,2.0,True
1955,1955_06,Assen,193,Eddie Grant,ZA,,Norton,6.0,1.0,True
1955,1955_07,Belfast,56,Bill Lomas,GB,,Moto Guzzi,1.0,8.0,True
1955,1955_07,Belfast,189,John Hartle,GB,,Norton,2.0,6.0,True
1955,1955_07,Belfast,43,Dickie Dale,GB,,Moto Guzzi,3.0,4.0,True
1955,1955_07,Belfast,147,Bob Mcintyre,GB,,Norton,4.0,3.0,True
1955,1955_07,Belfast,169,George Murphy,NZ,,Matchless,5.0,2.0,True
1955,1955_07,Belfast,173,John Clark,GB,,Matchless,6.0,1.0,True
1955,1955_08,Monza,33,Umberto Masetti,IT,,MV Agusta,1.0,8.0,True
1955,1955_08,Monza,16,Reg Armstrong,IE,,Gilera,2.0,6.0,True
1955,1955_08,Monza,49,Geoff Duke,GB,,Gilera,3.0,4.0,True
1955,1955_08,Monza,107,Giuseppe Colnago,IT,,Gilera,4.0,3.0,True
1955,1955_08,Monza,52,Alfredo Milani,IT,,Gilera,5.0,2.0,True
1955,1955_08,Monza,195,Ernst Riedelbauch,DE,,BMW,6.0,1.0,True
1956,1956_01,Isle of Man,111,John Surtees,GB,,MV Agusta,1.0,8.0,True
1956,1956_01,Isle of Man,189,John Hartle,GB,,Norton,2.0,6.0,True
1956,1956_01,Isle of Man,76,Jack Brett,GB,,Norton,3.0,4.0,True
1956,1956_01,Isle of Man,190,Walter Zeller,DE,,BMW,4.0,3.0,True
1956,1956_01,Isle of Man,56,Bill Lomas,GB,,Moto Guzzi,5.0,2.0,True
1956,1956_01,Isle of Man,196,Derek Ennett,GB,,Matchless,6.0,1.0,True
1956,1956_02,Assen,111,John Surtees,GB,,MV Agusta,1.0,8.0,True
1956,1956_02,Assen,190,Walter Zeller,DE,,BMW,2.0,6.0,True
1956,1956_02,Assen,193,Eddie Grant,ZA,,Norton,3.0,4.0,True
1956,1956_02,Assen,208,Keith Bryen,AU,,Norton,4.0,3.0,True
1956,1956_02,Assen,212,P.B. Fahey,NZ,,Matchless,5.0,2.0,True
1956,1956_02,Assen,213,Ernst Hiller,DE,,BMW,6.0,1.0,True
1956,1956_03,Spa-Francorchamps,111,John Surtees,GB,,MV Agusta,1.0,8.0,True
1956,1956_03,Spa-Francorchamps,190,Walter Zeller,DE,,BMW,2.0,6.0,True
1956,1956_03,Spa-Francorchamps,144,Pierre Monneret,FR,,Gilera,3.0,4.0,True
1956,1956_03,Spa-Francorchamps,33,Umberto Masetti,IT,,MV Agusta,4.0,3.0,True
