node,community
Olivier Chevallier,6
Pekka Nurmi,6
Rudolph Keller,6
Steve Tonkin,6
Thierry Van Der Veken,6
Tierry Tchernine,6
Boet Van Dulmen,8
Christian Estrosi,8
Marco Lucchinelli,8
Pat Hennen,8
Stuart Avant,8
Virginio Ferrari,8
Bernd Tungethal,6
Dave Potter,8
Ian Richards,6
John Weeden,6
Johnny Cecotto,8
Jonnie Ekerold,8
Max Wiener,8
Takazumi Katayama,8
Anton Mang,8
Franz Heller,8
Franz Rau,8
Jean Philippe Orban,8
Kevin Wrettom,8
Michael Schmid,8
Steve Parrish,8
Steve Wright,8
Steve Baker,8
Carlo Perugini,8
Clive Padgett,8
Dennis Ireland,8
Dick Alblas,8
Gerhardt Vogt,8
Gianni Rolando,8
Graziano Rossi,8
Jack Middelburg,8
Jurgen Steiner,8
Leandro Becheroni,8
Steve Manship,8
Kenny Blake,8
Kenny Roberts,8
Roberto Pietri,8
 ,8
Franco Uncini,8
Gary Lingham,8
Gianni Pelletier,8
Gustav Reiner,7
Guy Cooremans,8
Henk De Vries,8
Jacky Matagne,8
Jodef Hage,8
John Woodley,8
Lennart Backstrom,8
Mike Baldwin,7
Peter Sjostrom,8
Randy Mamola,8
Seppo Rossi,8
Sergio Pellandini,8
Willem Zoet,8
Christian Sarron,10
Dieter Heinen,8
Ikujiro Takai,8
Greg Hansford,11
Kork Ballington,11
Frank Gross,8
Graeme Crosby,8
Guido Paci,8
Freddie Spencer,7
Jeffrey Sayle,8
Maurizio Massimiani,8
Michel Frutschi,8
Patrick Fernandez,8
Raymond Roche,8
Richard Hubin,8
Sadao Asami,8
Barry Woodland,8
Chris Guy,8
Hiroyuki Kawasaki,8
Keith Huewen,8
Kimmo Kopra,8
Andreas Hofmann,8
Marc Fontan,8
Ron Haslam,7
Guy Bertin,8
Ernst Gschwender,8
Fabio Biliotti,7
Lorenzo Ghiselli,8
Loris Reggiani,8
Philippe Robinet,8
Wolfgang Von Muralt,7
Didier De Radigues,7
Paolo Ferretti,7
Roger Marshall,7
Wayne Gardner,7
Alfons Ammerschlager,8
Attilio Riondato,8
Eero Hyvarinen,7
Franz Kaserer,8
Jean Lafond,8
Marco Papa,7
Mark Salle,7
Massimo Broccoli,7
Paul Lewis,7
Rob Mcelnea,7
Rob Punt,7
Simon Buckmaster,7
Eddie Lawson,7
Hervi Moineau,5
Christian Le Liard,7
Claude Arciero,7
Henk Van Der Mark,7
Joey Dunlop,7
Mile Pajic,7
Reinhold Roth,7
Alessandro Valesi,7
Anders Anderson,7
Armando Errico,7
Brett Hudson,7
Dave Petersen,7
Josef Doppler,7
Karl Truchsess,7
Maarten Duyzers,7
Massimo Messere,7
Oscar La Ferla,7
Peter Linden,7
Roger Burnett,7
maurice Coq,7
Marco Gentile,7
Tadahiko Taira,10
Manfred Fischer,7
Pierre-Etienne Samin,7
Andy Leuthe,7
Antonio Perez,7
Lars Johansson,7
Niel Robinson,7
Paolo Cipriani,7
Romolo Balbi,7
Sito Pons,7
Juan Garriga,10
Dietmar Mayer,7
Fabio Barchitta,7
Helmut Schutz,7
Shunji Yatsushiro,7
Masaru Mizutani,7
Kenny Irons,7
Kevin Schwantz,7
Niall Mackenzie,7
Pierfrancesco Chili,7
Steve Manley,7
Herve Guilleux,7
Thierry Rapicault,7
Daniel Amatriain,7
Gerold Fisher,7
Michael Rudroff,7
Richard Scott,7
Donnie Mcleod,7
Rachel Nicotte,7
Takumi Ito,7
Tony Carey,7
Vincenzo Cascino,7
Kevin Magee,10
Norihiko Fujiwara,10
Shinji Katayama,10
Malcolm Campbell,7
Alberto Rota,7
Ari Rämö,7
Cees Doorakkers,7
Eddie Laycock,7
Fernando Gonzales De N.,7
Georg Jung,7
Hansjörg Butz,7
Niggi Schmassman,7
Pavol Dekanek,7
Peter Schleef,7
Silvo Habat,7
Vittorio Scatola,7
Claude Albert,7
Jean-Luc Demierre,7
Johan Ten Napel,7
Patrick Igoa,10
Wayne Rainey,10
Adrien Morillas,7
Alan Carter,7
Alois Meyer,7
Bubba Shobert,7
Dario Marchetti,7
Dominique Sarron,7
F. Beck,7
Fernando Gonzalez,7
Fred Merkel,7
Hikaru Miyagi,7
Juan Lopez Mella,5
Martin Trösch,7
Michele Valdo,7
Mick Doohan,12
Peter Graves,7
Shinichi Ito,12
Stephane Mertens,7
Osamu Hiwatashi,7
Thierry Crine,5
Torbjorn Bastiansen,7
John Kocinski,10
Kunio Machii,10
Luca Cadalora,12
Michael Dowson,10
Alex Barros,12
Carl Fogarty,7
Satoshi Tsujimoto,7
Jean Philippe Ruggia,10
Keiji Ohishi,10
Peter Goddard,10
Keiichiro Iwahashi,7
Doug Chandler,10
Hans Becker,10
Harald Becker,10
Rich Oliver,10
Robbie Petersen,10
Tasuro Arata,10
Toshihiko Honma,10
Jamie Whitham,5
Kevin Mitchell,5
Russell Wood,7
Terry Rymer,7
Alex Criville,12
Daryl Beattie,12
Andrew Stroud,5
Bruno Bonhuil,5
Corrado Catalano,5
Mike Wilson,5
Serge David,5
Toshi Arakaki,5
Miguel Duhamel,12
Matt Mladin,10
Allan Scott,5
Danny Walker,5
Darren Dixon,5
David Jefferies,5
John Reynolds,5
Sean Emmett,5
Simon Crafar,12
Andreas Meklau,5
James Haydon,5
Jean Luc Romanens,5
Jose Kuhn,5
Laurent Naveau,5
Lucio Pedercini,5
Renzo Colleoni,5
Tsumoto Udagawa,5
Bernard Garcia,5
Jean-Marc Deletang,5
Jehan D'orgeix,5
Jeremy Mcwilliams,5
Evren Bischoff,5
Lothar Neukirchner,5
Neil Hodgson,5
Nestor Amoroso,5
Nick Hopkins,5
Alberto Puig,12
Norick Abe,12
Bernard Haenggeli,5
Cristiano Migliorati,5
Ermanno Bastianini,5
Jean Foray,5
Jean Pierre Jeandat,5
Julian Miralles,5
Marc Garcia,5
Marc2 Garcia,5
Michael Liedl,5
Udo Mark,5
Antonio Irizar,5
Brian Morrison,5
Chris Walker,5
Eugene McManus,5
Eugene Mcmanus,5
Jamie Robinson,5
Jim Filice,5
Lee Pullan,5
Martin Craggill,5
Scott Gray,5
Carlos Checa,12
Loris Capirossi,12
Takuma Aoki,12
Adrian Bosshard,5
Frederic Protat,5
Juan Borja,12
Scott Russell,12
Hans Wieser,5
Doriano Romboni,2
Marcellino Lucchi,2
William Costes,5
Paul Young,5
Tadayuki Okada,12
Florian Ferracci,5
Katsuaki Fujiwara,12
Jean Michel Bayle,12
Kenny Roberts Jr,12
Alessandro Gramigni,2
Jurgen Fuchs,12
Jay Vincent,12
Jurgen Vd Goorbergh,12
Nobuatsu Aoki,12
Regis Laconi,12
Kirk Mccarthy,12
Anthony Gobert,12
Yukio Kagayama,12
Sete Gibernau,12
Troy Corser,12
Craig Connell,12
Fabio Carpani,12
Fernando Cristóbal,12
Garry Mccoy,12
Gregorio Lavilla,12
John Mcguinness,12
Juan Pablo Gianini,12
Matt Wait,12
Max Biaggi,12
Scott Smart,12
Sebastien Gimbert,12
Ralf Waldmann,12
Eskil Suter,10
Gianmaria Liverani,4
Paolo Tessari,4
Mark Willis,12
Kyoji Nanba,12
David De Gea,12
Markus Ober,12
Michael Rutter,12
Steve Martin,12
Mike Hale,12
Noriyasu Numata,12
Haruchika Aoki,12
Jose Luis Cardoso,12
Tetsuya Harada,12
Callum Ramsay,12
David Tomas,12
Phil Giles,12
Sebastien Legrelle,12
Shane Norval,12
Tekkyu Kayo,12
Valentino Rossi,12
Akira Ryo,12
Yoshiteru Konishi,12
Anthony West,12
Barry Veneman,12
Brendan Clarke,12
Jarno Janssen,12
Leon Haslam,12
Tohru Ukawa,12
Shaun Geronimi,12
Kurtis Roberts,12
Noriyuki Haga,12
Olivier Jacque,12
Shinya Nakano,12
Alex Hofmann,12
Daijiro Kato,12
Akira Yanagawa,12
Andrew Pitt,12
David Garcia,5
John Hopkins,12
Pere Riba,12
Sylvain Guintoli,12
Wataru Yoshikawa,12
Colin Edwards,12
Troy Bayliss,12
Chris Burns,12
Makoto Tamada,12
Nicky Hayden,12
Ryuichi Kiyonari,12
Marco Melandri,12
Michel Fabrizio,12
Shane Byrne,12
Ruben Xaus,12
James Ellison,12
Youichi Ui,12
Franco Battaini,12
Roberto Rolfo,12
Chris Vermeulen,12
Naoki Matsudo,12
David Checa,12
Toni Elias,12
Ivan Silva,12
Casey Stoner,12
Dani Pedrosa,12
Daniel Pedrosa,12
Randy De Puniet,12
Kousuke Akiyoshi,12
Chaz Davies,12
Fonsi Nieto,12
Roger Lee Hayden,12
Alex De Angelis,12
Andrea Dovizioso,12
Jamie Hacking,12
Ben Spies,12
James Toseland,12
Jorge Lorenzo,12
Aleix Espargaro,12
Mika Kallio,12
Niccolo Canepa,12
Gabor Talmacsi,12
Yuki Takahashi,12
Hector Barbera,12
Hiroshi Aoyama,12
Marco Simoncelli,12
Alvaro Bautista,12
Damian Cudlin,12
Karel Abraham,12
Ben Bostrom,12
Cal Crutchlow,12
Josh Hayes,12
Katsuyuki Nakasuga,12
Mattia Pasini,12
David Salom,12
Yonny Hernandez,12
Jonathan Rea,12
Stefan Bradl,12
Luca Scassa,12
Michael Laverty,12
Andrea Iannone,12
Michele Pirro,12
Javier Del Amor,12
Claudio Corti,12
Marc Marquez,12
Danilo Petrucci,12
Lukas Pesek,12
Bradley Smith,12
Mike Di Meglio,12
Leon Camier,12
Scott Redding,12
Broc Parkes,12
Pol Espargaro,12
Eugene Laverty,12
Jack Miller,12
Takumi Takahashi,12
Maverick Viñales,12
Loris Baz,12
Mike Jones,12
Xavi Fores,12
Tito Rabat,12
Alex Lowes,12
Sam Lowes,12
Alex Rins,12
Takuya Tsuda,12
Johann Zarco,12
Jonas Folger,12
Kohta Nozane,12
Michael Van Der Mark,12
Christophe Ponsson,12
Jordi Torres,12
Xavier Simeon,12
Franco Morbidelli,12
Takaaki Nakagami,12
Thomas Luthi,12
Hafizh Syahrin,12
Francesco Bagnaia,12
Iker Lecuona,12
Miguel Oliveira,12
Joan Mir,12
Fabio Quartararo,12
Lorenzo Savadori,12
Alex Marquez,12
Brad Binder,12
Enea Bastianini,12
Jorge Martin,12
Luca Marini,12
Garrett Gerloff,12
Jake Dixon,12
Fabio Di Giannantonio,12
Marco Bezzecchi,12
Tetsuta Nagashima,12
Raul Fernandez,12
Remy Gardner,12
Kazuki Watanabe,12
Darryn Binder,12
Augusto Fernandez,12
Pedro Acosta,12
Ai Ogura,12
Fermin Aldeguer,12
Nicolo Bulega,12
Somkiat Chantra,12
